STA_CODE,STATE_CODE,SUB_CODE_7,SUB_NAME_7,REG_CODE_7,REG_NAME_7,CMZ_ID,CM_ZONE
ACT,1,AUA01,Snowy Mountains,AUA,Australian Alps,2,Australian Alps Montane Grasslands and Heathlands
ACT,1,SEH06,Murrumbateman,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
ACT,1,SEH14,Bondo,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
ACT,1,SEH16,Monaro,SEH,South Eastern Highlands,15,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
JBT,2,SYB14,Jervis,SYB,Sydney Basin,6,Eastern Australia Temperate and Subtropical forests
NSW,3,AUA01,Snowy Mountains,AUA,Australian Alps,2,Australian Alps Montane Grasslands and Heathlands
NSW,3,BBS18,Inglewood Sandstones,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS20,Moonie-Barwon Interfluve,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS21,Northern Basalts,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS22,Northern Outwash,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS23,Pilliga Outwash,BBS,Brigalow Belt South,7,Eastern Australia Woodlands
NSW,3,BBS24,Pilliga,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS25,Liverpool Plains,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS26,Liverpool Range,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS27,Talbragar Valley,BBS,Brigalow Belt South,3,Brigalow Woodlands
NSW,3,BBS28,Narrandool,BBS,Brigalow Belt South,7,Eastern Australia Woodlands
NSW,3,BHC01,Barrier Range,BHC,Broken Hill Complex,1,Arid Shrublands and Desert
NSW,3,BHC02,Mootwingee Downs,BHC,Broken Hill Complex,1,Arid Shrublands and Desert
NSW,3,BHC03,Scopes Range,BHC,Broken Hill Complex,1,Arid Shrublands and Desert
NSW,3,BHC04,Barrier Range Outwash,BHC,Broken Hill Complex,1,Arid Shrublands and Desert
NSW,3,CHC02,Sturt Stony Desert,CHC,Channel Country,1,Arid Shrublands and Desert
NSW,3,CHC10,Core Ranges,CHC,Channel Country,1,Arid Shrublands and Desert
NSW,3,CHC11,Bulloo,CHC,Channel Country,1,Arid Shrublands and Desert
NSW,3,CHC12,Bulloo Dunefields,CHC,Channel Country,1,Arid Shrublands and Desert
NSW,3,CHC13,Central Depression,CHC,Channel Country,1,Arid Shrublands and Desert
NSW,3,COP01,Boorindal Plains,COP,Cobar Peneplain,5,Eastern Australia Mulga Shrublands
NSW,3,COP02,Barnato Downs,COP,Cobar Peneplain,14,South Eastern Australia Mallee Woodlands
NSW,3,COP03,Canbelego Downs,COP,Cobar Peneplain,16,South Eastern Australia Temperate Woodlands
NSW,3,COP04,Nymagee,COP,Cobar Peneplain,16,South Eastern Australia Temperate Woodlands
NSW,3,COP05,Lachlan Plains,COP,Cobar Peneplain,16,South Eastern Australia Temperate Woodlands
NSW,3,DRP01,Culgoa-Bokhara,DRP,Darling Riverine Plains,7,Eastern Australia Woodlands
NSW,3,DRP02,Warrambool-Moonie,DRP,Darling Riverine Plains,7,Eastern Australia Woodlands
NSW,3,DRP03,Castlereagh-Barwon,DRP,Darling Riverine Plains,7,Eastern Australia Woodlands
NSW,3,DRP04,Bogan-Macquarie,DRP,Darling Riverine Plains,7,Eastern Australia Woodlands
NSW,3,DRP05,Louth Plains,DRP,Darling Riverine Plains,5,Eastern Australia Mulga Shrublands
NSW,3,DRP06,Wilcannia Plains,DRP,Darling Riverine Plains,5,Eastern Australia Mulga Shrublands
