eco_num,mvg_num,mvg_name,cmz_num,cmz_name
1,1.0,Rainforests and Vine Thickets,1.0,Arid Shrublands and Desert
2,1.0,Rainforests and Vine Thickets,2.0,Australian Alps Montane Grasslands and Heathlands
3,1.0,Rainforests and Vine Thickets,3.0,Brigalow Woodlands
4,1.0,Rainforests and Vine Thickets,4.0,South Western Australia Mallee Woodlands
5,1.0,Rainforests and Vine Thickets,5.0,Eastern Australia Mulga Shrublands
6,1.0,Rainforests and Vine Thickets,6.0,Eastern Australia Temperate and Subtropical forests
7,1.0,Rainforests and Vine Thickets,7.0,Eastern Australia Woodlands
8,1.0,Rainforests and Vine Thickets,8.0,Eastern Australia Tropical Rainforests
9,1.0,Rainforests and Vine Thickets,9.0,Mitchell Grasslands
10,1.0,Rainforests and Vine Thickets,10.0,South Australian Eucalypt Woodlands
11,1.0,Rainforests and Vine Thickets,11.0,Naracoorte Woodlands
12,1.0,Rainforests and Vine Thickets,12.0,North Australian Tropical Savanna Woodlands
13,1.0,Rainforests and Vine Thickets,13.0,North Eastern Australia Tropical Rainforests
14,1.0,Rainforests and Vine Thickets,14.0,South Eastern Australia Mallee Woodlands
15,1.0,Rainforests and Vine Thickets,15.0,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
16,1.0,Rainforests and Vine Thickets,16.0,South Eastern Australia Temperate Woodlands
17,1.0,Rainforests and Vine Thickets,17.0,Esperance Coastal Shrublands and Mallee
18,1.0,Rainforests and Vine Thickets,18.0,South Western Australia Temperate Forests
19,1.0,Rainforests and Vine Thickets,19.0,South Western Australia Temperate Woodlands
20,1.0,Rainforests and Vine Thickets,20.0,Swan Coastal Plain Shrublands and Woodlands
21,1.0,Rainforests and Vine Thickets,21.0,Tasman Temperate Forests
22,1.0,Rainforests and Vine Thickets,22.0,Western Australian Temperate Sandplain Woodlands
23,1.0,Rainforests and Vine Thickets,23.0,Tasmanian Temperate Rainforests and Highland Forests
24,2.0,Eucalypt Tall Open Forests,1.0,Arid Shrublands and Desert
25,2.0,Eucalypt Tall Open Forests,2.0,Australian Alps Montane Grasslands and Heathlands
26,2.0,Eucalypt Tall Open Forests,3.0,Brigalow Woodlands
27,2.0,Eucalypt Tall Open Forests,4.0,South Western Australia Mallee Woodlands
28,2.0,Eucalypt Tall Open Forests,5.0,Eastern Australia Mulga Shrublands
29,2.0,Eucalypt Tall Open Forests,6.0,Eastern Australia Temperate and Subtropical forests
30,2.0,Eucalypt Tall Open Forests,7.0,Eastern Australia Woodlands
31,2.0,Eucalypt Tall Open Forests,8.0,Eastern Australia Tropical Rainforests
32,2.0,Eucalypt Tall Open Forests,9.0,Mitchell Grasslands
33,2.0,Eucalypt Tall Open Forests,10.0,South Australian Eucalypt Woodlands
34,2.0,Eucalypt Tall Open Forests,11.0,Naracoorte Woodlands
35,2.0,Eucalypt Tall Open Forests,12.0,North Australian Tropical Savanna Woodlands
36,2.0,Eucalypt Tall Open Forests,13.0,North Eastern Australia Tropical Rainforests
37,2.0,Eucalypt Tall Open Forests,14.0,South Eastern Australia Mallee Woodlands
38,2.0,Eucalypt Tall Open Forests,15.0,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
39,2.0,Eucalypt Tall Open Forests,16.0,South Eastern Australia Temperate Woodlands
40,2.0,Eucalypt Tall Open Forests,17.0,Esperance Coastal Shrublands and Mallee
41,2.0,Eucalypt Tall Open Forests,18.0,South Western Australia Temperate Forests
42,2.0,Eucalypt Tall Open Forests,19.0,South Western Australia Temperate Woodlands
43,2.0,Eucalypt Tall Open Forests,20.0,Swan Coastal Plain Shrublands and Woodlands
44,2.0,Eucalypt Tall Open Forests,21.0,Tasman Temperate Forests
45,2.0,Eucalypt Tall Open Forests,22.0,Western Australian Temperate Sandplain Woodlands
46,2.0,Eucalypt Tall Open Forests,23.0,Tasmanian Temperate Rainforests and Highland Forests
47,3.0,Eucalypt Open Forests,1.0,Arid Shrublands and Desert
48,3.0,Eucalypt Open Forests,2.0,Australian Alps Montane Grasslands and Heathlands
49,3.0,Eucalypt Open Forests,3.0,Brigalow Woodlands
50,3.0,Eucalypt Open Forests,4.0,South Western Australia Mallee Woodlands
51,3.0,Eucalypt Open Forests,5.0,Eastern Australia Mulga Shrublands
52,3.0,Eucalypt Open Forests,6.0,Eastern Australia Temperate and Subtropical forests
53,3.0,Eucalypt Open Forests,7.0,Eastern Australia Woodlands
54,3.0,Eucalypt Open Forests,8.0,Eastern Australia Tropical Rainforests
55,3.0,Eucalypt Open Forests,9.0,Mitchell Grasslands
56,3.0,Eucalypt Open Forests,10.0,South Australian Eucalypt Woodlands
57,3.0,Eucalypt Open Forests,11.0,Naracoorte Woodlands
58,3.0,Eucalypt Open Forests,12.0,North Australian Tropical Savanna Woodlands
59,3.0,Eucalypt Open Forests,13.0,North Eastern Australia Tropical Rainforests
60,3.0,Eucalypt Open Forests,14.0,South Eastern Australia Mallee Woodlands
61,3.0,Eucalypt Open Forests,15.0,South Eastern Australia Mixed Temperate Forests Woodlands and Grasslands
62,3.0,Eucalypt Open Forests,16.0,South Eastern Australia Temperate Woodlands
63,3.0,Eucalypt Open Forests,17.0,Esperance Coastal Shrublands and Mallee
64,3.0,Eucalypt Open Forests,18.0,South Western Australia Temperate Forests
65,3.0,Eucalypt Open Forests,19.0,South Western Australia Temperate Woodlands
66,3.0,Eucalypt Open Forests,20.0,Swan Coastal Plain Shrublands and Woodlands
67,3.0,Eucalypt Open Forests,21.0,Tasman Temperate Forests
68,3.0,Eucalypt Open Forests,22.0,Western Australian Temperate Sandplain Woodlands
69,3.0,Eucalypt Open Forests,23.0,Tasmanian Temperate Rainforests and Highland Forests
70,4.0,Eucalypt Low Open Forests,1.0,Arid Shrublands and Desert
71,4.0,Eucalypt Low Open Forests,2.0,Australian Alps Montane Grasslands and Heathlands
72,4.0,Eucalypt Low Open Forests,3.0,Brigalow Woodlands
73,4.0,Eucalypt Low Open Forests,4.0,South Western Australia Mallee Woodlands
74,4.0,Eucalypt Low Open Forests,5.0,Eastern Australia Mulga Shrublands
75,4.0,Eucalypt Low Open Forests,6.0,Eastern Australia Temperate and Subtropical forests
