INDEX,SUB_CODE_7
0,ARC01
1,ARC02
2,ARC03
3,ARC04
4,ARC05
5,ARP01
6,ARP02
7,AUA01
8,AUA02
9,AVW01
10,AVW02
11,BBN01
12,BBN02
13,BBN03
14,BBN04
15,BBN05
16,BBN06
17,BBN07
18,BBN08
19,BBN09
20,BBN10
21,BBN11
22,BBN12
23,BBN13
24,BBN14
25,BBS01
26,BBS02
27,BBS03
28,BBS04
29,BBS05
30,BBS06
31,BBS07
32,BBS08
33,BBS09
34,BBS10
35,BBS11
36,BBS12
37,BBS13
38,BBS14
39,BBS15
40,BBS16
41,BBS17
42,BBS18
43,BBS19
44,BBS20
45,BBS21
46,BBS22
47,BBS23
48,BBS24
49,BBS25
50,BBS26
51,BBS27
52,BBS28
53,BEL01
54,BHC01
55,BHC02
56,BHC03
57,BHC04
58,BHC05
59,BHC06
60,BRT01
61,BRT02
62,BRT03
63,BRT04
64,CAR01
65,CAR02
66,CEA01
67,CEA02
68,CEK01
69,CEK02
70,CEK03
71,CER01
72,CER02
73,CER03
74,CHC01
75,CHC02
76,CHC03
77,CHC04
78,CHC05
79,CHC06
80,CHC07
81,CHC08
82,CHC10
83,CHC11
84,CHC12
85,CHC13
86,CMC01
87,CMC02
88,CMC03
89,CMC04
90,CMC05
91,CMC06
92,COO01
93,COO02
94,COO03
95,COP01
96,COP02
97,COP03
98,COP04
99,COP05
100,COS01
101,CYP01
102,CYP02
103,CYP03
104,CYP04
105,CYP05
106,CYP06
107,CYP07
108,CYP08
109,CYP09
110,DAB01
111,DAC01
112,DAL01
113,DAL02
114,DEU01
115,DEU02
116,DEU03
117,DEU04
118,DMR01
119,DMR02
120,DMR03
121,DRP01
122,DRP02
123,DRP03
124,DRP04
125,DRP05
126,DRP06
127,DRP07
128,DRP08
129,DRP09
130,EIU01
131,EIU02
132,EIU03
133,EIU04
134,EIU05
135,EIU06
136,ESP01
137,ESP02
138,EYB01
139,EYB02
140,EYB03
141,EYB04
142,EYB05
143,FIN01
144,FIN02
145,FIN03
146,FIN04
147,FLB01
148,FLB02
149,FLB03
